"","Year","Length","Sex","Shell","Legal","N","lenclass"
"50",1987,64,1,1,0,6,64
"51",1987,65,1,1,0,6,64
"52",1987,66,1,1,0,4,64
"53",1987,67,1,1,0,6,64
"54",1987,68,1,1,0,6,64
"55",1987,69,1,1,0,10,64
"56",1987,70,1,1,0,7,64
"57",1987,71,1,1,0,8,64
"58",1987,72,1,1,0,6,64
"59",1987,73,1,1,0,11,64
"60",1987,73,1,2,0,0,64
"61",1987,74,1,1,0,12,74
"62",1987,75,1,1,0,8,74
"63",1987,75,1,2,0,1,74
"64",1987,76,1,1,0,19,74
"65",1987,77,1,1,0,22,74
"66",1987,77,1,2,0,0,74
"67",1987,78,1,1,0,30,74
"68",1987,79,1,1,0,19,74
"69",1987,79,1,2,0,1,74
"70",1987,80,1,1,0,21,74
"71",1987,81,1,1,0,24,74
"72",1987,82,1,1,0,38,74
"73",1987,83,1,1,0,23,74
"74",1987,83,1,2,0,0,74
"75",1987,84,1,1,0,26,84
"76",1987,84,1,2,0,0,84
"77",1987,85,1,1,0,29,84
"78",1987,85,1,2,0,1,84
"79",1987,86,1,1,0,30,84
"80",1987,86,1,2,0,1,84
"81",1987,87,1,1,0,28,84
"82",1987,87,1,2,0,2,84
"83",1987,88,1,1,0,38,84
"84",1987,88,1,2,0,1,84
"85",1987,89,1,1,0,32,84
"86",1987,89,1,2,0,1,84
"87",1987,90,1,1,0,49,84
"88",1987,90,1,2,0,4,84
"89",1987,91,1,1,0,52,84
"90",1987,91,1,2,0,5,84
"91",1987,92,1,1,0,36,84
"92",1987,92,1,2,0,3,84
"93",1987,93,1,1,0,47,84
"94",1987,93,1,2,0,5,84
"95",1987,94,1,1,0,37,94
"96",1987,94,1,2,0,4,94
"97",1987,95,1,1,0,50,94
"98",1987,95,1,2,0,3,94
"99",1987,96,1,1,0,41,94
"100",1987,96,1,2,0,1,94
"101",1987,97,1,1,0,44,94
"102",1987,97,1,2,0,3,94
"103",1987,98,1,1,0,37,94
"104",1987,98,1,2,0,5,94
"105",1987,99,1,1,0,33,94
"106",1987,99,1,2,0,10,94
"107",1987,100,1,1,0,36,94
"108",1987,100,1,2,0,5,94
"109",1987,101,1,1,0,39,94
"110",1987,101,1,2,0,8,94
"111",1987,102,1,1,0,36,94
"112",1987,102,1,2,0,5,94
"113",1987,103,1,1,0,26,94
"114",1987,103,1,2,0,3,94
"115",1987,104,1,1,0,9,104
"116",1987,104,1,2,0,4,104
"117",1987,105,1,1,0,12,104
"118",1987,105,1,2,0,0,104
"119",1987,106,1,1,0,7,104
"120",1987,106,1,2,0,1,104
"121",1987,107,1,1,0,6,104
"122",1987,108,1,1,0,2,104
"123",1987,109,1,1,0,0,104
